                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.478,                 5.7039,                 3.2009,                0.00012,                0.00725,                  6e-05,                  1e-05,                 4.1866,                 8.5448,                 2.9858,                 0.0955,                 0.0005,                 0.0005
                      1,                 4.5739,                 5.7982,                 3.1241,                0.00012,                0.00725,                  6e-05,                  1e-05,                 4.1713,                 6.3584,                 2.9455,               0.090095,              0.0010946,              0.0010946
                      2,                 4.6041,                 5.3826,                 3.1031,                0.00067,                 0.0209,                0.00036,                  4e-05,                 4.1218,                 5.7205,                  2.907,               0.084683,              0.0016832,              0.0016832
                      3,                 4.3656,                 4.9686,                 3.0051,                0.00067,                 0.0209,                0.00036,                  4e-05,                 4.1218,                 5.7205,                  2.907,               0.079266,              0.0022658,              0.0022658
                      4,                 4.2024,                 4.9142,                 2.9437,                0.00097,                0.04348,                0.00055,                  7e-05,                 4.0293,                 5.0198,                 2.7957,               0.073843,              0.0028426,              0.0028426
                      5,                  4.268,                 4.8319,                 2.8963,                0.00097,                0.04348,                0.00055,                  7e-05,                 4.0293,                 5.0198,                 2.7957,               0.068413,              0.0034134,              0.0034134
                      6,                 4.2181,                 4.5846,                 2.8531,                0.00108,                0.05072,                0.00102,                0.00023,                 3.9359,                 4.6671,                 2.7159,               0.062978,              0.0039782,              0.0039782
                      7,                 4.3257,                 4.6762,                 2.8168,                0.00108,                0.05072,                0.00102,                0.00023,                 3.9359,                 4.6671,                 2.7159,               0.057537,              0.0045371,              0.0045371
                      8,                 3.8761,                 4.5957,                 2.9471,                0.00129,                0.03623,                0.00082,                0.00024,                 3.8519,                  4.498,                 2.7132,                0.05209,              0.0050901,              0.0050901
                      9,                 4.3259,                 4.5834,                 2.8329,                0.00129,                0.03623,                0.00082,                0.00024,                 3.8519,                  4.498,                 2.7132,               0.046637,              0.0056372,              0.0056372
                     10,                 4.0224,                 4.7014,                 2.8891,                0.00129,                0.03623,                0.00082,                0.00024,                 3.8519,                  4.498,                 2.7132,               0.041178,              0.0061782,              0.0061782
                     11,                 3.8333,                 4.6769,                 2.8133,                0.00129,                0.03623,                0.00082,                0.00024,                 3.8519,                  4.498,                 2.7132,               0.035713,              0.0067134,              0.0067134
                     12,                 4.3388,                 4.6005,                 2.8118,                0.00129,                0.03623,                0.00082,                0.00024,                 3.8519,                  4.498,                 2.7132,               0.030243,              0.0072426,              0.0072426
                     13,                 4.2474,                 4.3071,                 2.6855,                0.00141,                 0.0942,                0.00145,                0.00044,                 3.6701,                  4.596,                 2.6343,               0.024766,              0.0077659,              0.0077659
                     14,                 3.6867,                 4.3129,                 2.7296,                0.00141,                 0.0942,                0.00145,                0.00044,                 3.6701,                  4.596,                 2.6343,               0.019283,              0.0082832,              0.0082832
                     15,                 4.1319,                 4.2915,                 2.6443,                0.00141,                 0.0942,                0.00145,                0.00044,                 3.6701,                  4.596,                 2.6343,               0.013795,              0.0087946,              0.0087946
                     16,                  3.655,                 4.3425,                 2.8626,                0.00141,                 0.0942,                0.00145,                0.00044,                 3.6701,                  4.596,                 2.6343,               0.009208,               0.009208,               0.009208
                     17,                 3.8039,                 4.3066,                 2.6615,                0.00141,                 0.0942,                0.00145,                0.00044,                 3.6701,                  4.596,                 2.6343,               0.009208,               0.009208,               0.009208
                     18,                 3.7638,                  4.188,                 2.6639,                0.00184,                0.04348,                0.00109,                 0.0003,                 3.5079,                 5.2979,                 2.5701,              0.0091585,              0.0091585,              0.0091585
                     19,                 3.4666,                 4.2398,                  2.622,                0.00184,                0.04348,                0.00109,                 0.0003,                 3.5079,                 5.2979,                 2.5701,               0.009109,               0.009109,               0.009109
                     20,                 3.5894,                  4.119,                 2.4567,                0.00184,                0.04348,                0.00109,                 0.0003,                 3.5079,                 5.2979,                 2.5701,              0.0090595,              0.0090595,              0.0090595
                     21,                 3.5852,                 4.0828,                 2.4373,                0.00184,                0.04348,                0.00109,                 0.0003,                 3.5079,                 5.2979,                 2.5701,                0.00901,                0.00901,                0.00901
                     22,                 3.4688,                 4.0045,                 2.4721,                0.00184,                0.04348,                0.00109,                 0.0003,                 3.5079,                 5.2979,                 2.5701,              0.0089605,              0.0089605,              0.0089605
                     23,                 3.6923,                 4.0694,                 2.4461,                0.01176,                0.30727,                0.01208,                0.00301,                 3.2391,                  3.671,                 2.5337,               0.008911,               0.008911,               0.008911
