                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8665,                 5.9199,                 3.1222,                0.00124,                0.36842,                0.00728,                0.00185,                 3.3909,                 6.2289,                 3.5115,                0.07075,                0.00325,                0.00325
                      1,                  2.707,                 4.6747,                 2.9494,                 0.0015,                0.46053,                0.00291,                0.00079,                 2.9538,                  6.084,                 3.2734,               0.040717,              0.0065507,              0.0065507
                      2,                 2.4596,                 4.0066,                 2.7318,                 0.5398,                0.10526,                0.03217,                0.00913,                 3.4416,                 5.3215,                 3.6079,               0.010652,              0.0098185,              0.0098185
                      3,                 2.4157,                 3.5256,                 2.5608,                 0.8427,                0.21503,                0.27529,                0.08987,                 2.5932,                 3.5436,                 2.9886,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.1245,                 3.0878,                 2.4242,                0.62111,                0.32596,                0.10819,                0.04836,                 2.1798,                 2.9592,                 2.6029,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2659,                 3.0845,                 2.4706,                0.66477,                0.22368,                0.15968,                0.02745,                  2.434,                 3.1534,                 3.2148,               0.009802,               0.009802,               0.009802
                      6,                 2.1641,                 2.9008,                 2.3618,                0.82213,                   0.25,                0.33292,                  0.084,                 2.3252,                  2.444,                 3.1585,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.4134,                 3.3341,                 2.5345,                0.84043,                0.36184,                0.37371,                0.07912,                 2.2604,                 2.3012,                 3.1268,               0.009703,               0.009703,               0.009703
                      8,                  2.119,                 2.6746,                  2.534,                0.72897,                  0.375,                0.32933,                0.08539,                 2.2248,                 2.4892,                 2.8619,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0685,                 2.6411,                 2.4307,                0.86633,                0.35526,                0.35938,                0.07708,                 2.2394,                 2.7235,                      3,               0.009604,               0.009604,               0.009604
                     10,                 2.0884,                 3.0692,                 2.2911,                0.91348,                  0.375,                0.45317,                0.17851,                  2.206,                 2.1345,                 2.4057,              0.0095545,              0.0095545,              0.0095545
