                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1791,                 9.0031,                 2.1805,                      0,                      0,                      0,                      0,                 1.6322,                 4.6631,                 1.1528,                 0.0706,              0.0032667,              0.0032667
                      1,                 2.7861,                 4.2095,                 1.8095,                0.00247,                0.02564,                0.00145,                0.00029,                 1.4358,                 1.8399,                 1.0485,               0.040567,              0.0065673,              0.0065673
                      2,                 2.4497,                 3.2232,                 1.5611,                0.00404,                0.15385,                0.00318,                0.00082,                 1.3628,                  1.861,                0.97346,               0.010502,               0.009835,               0.009835
                      3,                 2.5734,                 3.4423,                 1.6443,                0.00415,                0.39744,                0.00649,                0.00158,                 1.0658,                 1.9736,                0.81749,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.0097,                 3.2656,                 1.4591,                0.00941,                0.47436,                0.01275,                  0.004,                0.96923,                 1.7902,                 0.7569,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0087,                 2.9762,                 1.3211,                0.06647,                0.16667,                0.04198,                0.01394,                 0.8923,                 1.8319,                0.69792,               0.009802,               0.009802,               0.009802
                      6,                  1.718,                  2.656,                  1.175,                0.08177,                0.29487,                0.06384,                0.02361,                0.95451,                 3.4962,                0.69656,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7846,                 2.8248,                 1.3044,                0.09986,                0.89744,                0.21233,                0.07367,                0.93448,                 1.4861,                0.68775,               0.009703,               0.009703,               0.009703
                      8,                 1.8158,                 2.8238,                 1.2151,                0.30415,                0.23077,                0.31731,                0.16531,                0.66715,                 1.7274,                0.54942,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6151,                 2.4839,                 1.1292,                0.35985,                0.62821,                 0.3473,                0.20773,                0.59578,                  6.707,                0.50518,               0.009604,               0.009604,               0.009604
                     10,                 1.3203,                 2.8697,                0.95029,                0.02951,                0.98718,                0.08586,                0.03704,                0.70828,                 1.5479,                0.55869,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3043,                 2.4869,                0.99601,                0.02361,                0.97436,                0.06981,                 0.0311,                0.67468,                 1.5266,                0.53036,               0.009505,               0.009505,               0.009505
                     12,                 1.4194,                 2.4291,                 1.0024,                0.04515,                0.80769,                0.14657,                0.07031,                0.63148,                 2.2255,                0.47015,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4518,                 2.3628,                 1.0071,                0.03808,                0.57692,                0.03939,                0.01423,                0.73549,                 4.7188,                0.55627,               0.009406,               0.009406,               0.009406
                     14,                 1.4739,                 2.7941,                0.98623,                0.03299,                0.98718,                0.13873,                0.07115,                0.55434,                 1.4776,                0.48072,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3811,                 2.5567,                 1.0219,                0.01118,                      1,                0.33896,                 0.1764,                0.56334,                 2.0266,                0.50445,               0.009307,               0.009307,               0.009307
                     16,                 1.2217,                 2.2297,                0.91458,                0.01257,                      1,                0.26451,                0.13598,                0.63363,                 2.5231,                0.52742,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2176,                 2.1493,                0.93417,                0.32339,                0.69231,                0.36025,                0.19264,                0.66568,                 2.9052,                0.54016,               0.009208,               0.009208,               0.009208
                     18,                 1.6557,                 2.7136,                 1.1823,                0.32222,                0.85897,                0.36652,                 0.1995,                 0.5867,                 14.094,                0.50798,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1794,                 3.5126,                0.87228,                0.02208,                      1,                0.38694,                0.20848,                0.58258,                 1.7691,                0.48608,               0.009109,               0.009109,               0.009109
                     20,                 1.3681,                 2.5359,                 1.0953,                0.01789,                      1,                0.31097,                0.18805,                0.49276,                 2.0098,                0.44107,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1643,                 2.0054,                0.87362,                0.05413,                0.97436,                0.25607,                0.14175,                0.66009,                 1.5459,                0.53842,                0.00901,                0.00901,                0.00901
                     22,                 1.1677,                 2.0556,                0.87608,                0.05666,                0.98718,                0.34662,                 0.2286,                0.49161,                 1.7352,                0.44878,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2943,                 2.0184,                 1.0302,                0.14188,                0.98718,                0.40816,                0.25736,                0.53552,                 2.9718,                0.46104,               0.008911,               0.008911,               0.008911
                     24,                 1.2317,                  2.028,                  0.899,                0.22548,                0.96154,                0.39575,                0.24723,                0.52032,                 1.9927,                0.46085,              0.0088615,              0.0088615,              0.0088615
                     25,                0.96052,                 2.2563,                0.76641,                0.06581,                0.98718,                0.37393,                0.23242,                0.48371,                 1.2789,                0.45245,               0.008812,               0.008812,               0.008812
                     26,                 1.2633,                 2.4249,                0.97845,                 0.0531,                0.98718,                0.31508,                0.17948,                0.52254,                 1.5448,                0.46449,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1616,                 2.3093,                0.89785,                0.03439,                      1,                0.31209,                0.18351,                0.49383,                 1.8723,                0.46075,               0.008713,               0.008713,               0.008713
                     28,                 1.1941,                 2.1352,                 1.0016,                0.29583,                0.97436,                0.39465,                0.26823,                0.44157,                 3.5005,                 0.4357,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1711,                 2.1562,                0.90929,                0.06701,                      1,                0.38987,                0.26376,                0.46923,                 1.5667,                0.44315,               0.008614,               0.008614,               0.008614
                     30,                  1.202,                 1.8571,                0.97557,                0.10336,                0.98718,                0.39602,                0.27392,                0.42454,                 1.8115,                0.41887,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1965,                 1.9369,                 0.9244,                0.26874,                0.98718,                0.45234,                 0.2985,                0.49051,                 2.5875,                0.45006,               0.008515,               0.008515,               0.008515
                     32,                0.99663,                 1.8811,                 0.7605,                0.09144,                      1,                0.39085,                0.23516,                0.52363,                 1.4151,                 0.4682,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0032,                 1.9762,                0.85489,                0.04629,                      1,                0.32527,                0.21504,                 0.4329,                 1.8233,                0.42235,               0.008416,               0.008416,               0.008416
                     34,                0.99714,                  1.759,                 0.8339,                0.06588,                      1,                0.37823,                0.22966,                0.45491,                 1.9904,                0.43224,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1196,                 1.9391,                0.84786,                0.33858,                0.96154,                0.56093,                0.36749,                0.49449,                 1.6861,                0.44497,               0.008317,               0.008317,               0.008317
                     36,                 1.0502,                 1.6387,                 0.8495,                0.32412,                0.98718,                0.52649,                0.34485,                0.47328,                 2.7447,                0.43554,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1248,                 1.9192,                0.90904,                0.17829,                      1,                0.41334,                0.27106,                0.46905,                 2.0647,                0.43111,               0.008218,               0.008218,               0.008218
                     38,                 0.8563,                 1.5524,                0.72187,                0.07529,                      1,                0.49624,                0.32481,                0.50932,                 1.4182,                0.46088,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.094,                 1.8742,                0.92906,                0.04987,                      1,                0.52541,                0.34001,                0.49998,                 1.6449,                0.45633,               0.008119,               0.008119,               0.008119
