0_000.png, 0, 28, 67, 85, 119
0_001.png, 0, 21, 70, 63, 117
0_003.png, 0, 153, 76, 238, 131
0_006.png, 0, 140, 52, 221, 100
0_006.png, 0, 137, 44, 225, 109
0_007.png, 0, 78, 48, 157, 97
0_008.png, 0, 53, 55, 125, 99
0_009.png, 0, 68, 62, 138, 108
0_010.png, 0, 67, 76, 137, 120
0_011.png, 0, 54, 85, 122, 131
0_012.png, 0, 33, 87, 99, 133
0_013.png, 0, 20, 84, 60, 128
0_014.png, 0, 17, 80, 51, 124
0_015.png, 0, 40, 75, 104, 119
0_016.png, 0, 71, 71, 132, 111
0_017.png, 0, 82, 66, 145, 109
0_018.png, 0, 83, 66, 146, 109
0_019.png, 0, 79, 66, 144, 109
0_020.png, 0, 72, 65, 137, 108
0_021.png, 0, 73, 69, 142, 114
0_022.png, 0, 62, 80, 133, 125
0_023.png, 0, 41, 89, 116, 138
0_024.png, 0, 37, 94, 111, 147
0_025.png, 0, 44, 94, 115, 137
0_030.png, 0, 30, 100, 91, 160
0_032.png, 0, 23, 74, 69, 121
0_033.png, 0, 128, 61, 196, 102
0_036.png, 0, 178, 91, 234, 123
0_037.png, 0, 149, 95, 198, 125
0_038.png, 0, 108, 97, 158, 128
0_039.png, 0, 76, 96, 124, 126
0_040.png, 0, 83, 93, 129, 123
0_041.png, 0, 108, 88, 156, 118
0_042.png, 0, 123, 86, 171, 114
0_043.png, 0, 100, 84, 145, 113
0_044.png, 0, 63, 84, 116, 116
0_045.png, 0, 40, 87, 91, 120
0_046.png, 0, 32, 90, 86, 121
0_047.png, 0, 53, 86, 105, 120
0_048.png, 0, 76, 76, 130, 112
0_049.png, 0, 82, 64, 139, 100
0_050.png, 0, 80, 56, 136, 92
0_051.png, 0, 76, 51, 133, 89
0_052.png, 0, 74, 50, 129, 86
0_053.png, 0, 70, 47, 127, 83
0_054.png, 0, 61, 31, 121, 70
0_055.png, 0, 54, 16, 121, 48
0_056.png, 0, 56, 15, 121, 46
x_1.png, 0, 409, 381, 497, 476
x_10.png, 0, 206, 259, 289, 347
x_3.png, 0, 408, 379, 496, 478
x_4.png, 0, 202, 258, 288, 344
x_5.png, 0, 488, 143, 570, 223
x_7.png, 0, 488, 143, 572, 224
x_8.png, 0, 202, 258, 288, 344
