0, 1, 49, 43, 147, 114
1, 1, 47, 43, 142, 115
2, 1, 49, 42, 148, 115
3, 1, 106, 87, 204, 160
4, 1, 105, 87, 204, 160
5, 1, 105, 87, 204, 160
6, 1, 99, 85, 211, 160
7, 1, 98, 85, 212, 160
8, 1, 91, 84, 194, 159
9, 1, 92, 83, 199, 160
10, 1, 95, 82, 209, 161
11, 1, 97, 82, 197, 160
12, 1, 97, 82, 195, 158
14, 1, 96, 82, 193, 158
15, 1, 98, 82, 192, 158
16, 1, 98, 82, 192, 158
17, 1, 98, 82, 192, 158
18, 1, 96, 83, 192, 159
19, 1, 103, 84, 207, 159
20, 1, 103, 85, 208, 159
21, 1, 105, 85, 207, 158
22, 1, 117, 87, 212, 159
23, 1, 123, 88, 211, 160
24, 1, 49, 42, 147, 115
25, 1, 121, 88, 208, 160
26, 1, 127, 88, 224, 160
27, 1, 129, 88, 225, 159
28, 1, 135, 89, 227, 160
29, 1, 135, 90, 222, 163
30, 1, 135, 90, 222, 163
31, 1, 135, 92, 224, 168
32, 1, 138, 91, 228, 165
33, 1, 140, 91, 231, 165
34, 1, 145, 90, 235, 162
35, 1, 49, 42, 147, 115
36, 1, 144, 89, 230, 161
37, 1, 141, 88, 221, 160
38, 1, 136, 86, 244, 158
39, 1, 135, 85, 242, 159
40, 1, 138, 81, 237, 156
41, 1, 134, 78, 223, 150
42, 1, 127, 77, 217, 148
43, 1, 129, 76, 227, 148
44, 1, 121, 72, 227, 147
45, 1, 113, 68, 202, 141
47, 1, 111, 66, 201, 138
48, 1, 105, 65, 201, 136
49, 1, 90, 62, 196, 136
50, 1, 86, 59, 183, 133
51, 1, 85, 55, 188, 126
52, 1, 83, 54, 182, 125
53, 1, 72, 54, 169, 126
54, 1, 63, 54, 183, 123
55, 1, 56, 52, 167, 124
56, 1, 58, 50, 171, 124
58, 1, 55, 45, 158, 116
59, 1, 53, 44, 154, 115
60, 1, 54, 43, 157, 114
61, 1, 54, 43, 157, 114
62, 1, 59, 43, 164, 115
63, 1, 61, 42, 164, 113
64, 1, 59, 42, 158, 112
65, 1, 61, 40, 162, 106
66, 1, 61, 39, 176, 113
67, 1, 64, 38, 185, 111
67, 1, 70, 38, 165, 102
69, 1, 75, 35, 187, 105
70, 1, 76, 34, 189, 103
71, 1, 84, 34, 188, 102
72, 1, 88, 34, 193, 102
73, 1, 95, 34, 200, 102
74, 1, 99, 33, 204, 100
75, 1, 108, 32, 212, 96
76, 1, 108, 31, 211, 94
77, 1, 107, 32, 210, 96
78, 1, 105, 31, 206, 93
80, 1, 100, 32, 204, 97
81, 1, 97, 33, 202, 100
82, 1, 95, 34, 200, 102
83, 1, 87, 34, 192, 102
84, 1, 78, 34, 186, 102
85, 1, 75, 34, 184, 103
86, 1, 65, 34, 176, 103
87, 1, 63, 35, 177, 105
88, 1, 55, 35, 161, 105
89, 1, 54, 36, 159, 108
91, 1, 52, 38, 155, 112
92, 1, 50, 38, 150, 112
93, 1, 50, 38, 150, 112
94, 1, 50, 39, 150, 113
95, 1, 49, 39, 148, 113
96, 1, 49, 39, 148, 113
97, 1, 49, 38, 147, 112
98, 1, 44, 38, 133, 112
99, 1, 44, 38, 132, 112
100, 1, 44, 38, 133, 113
102, 1, 45, 38, 135, 113
103, 1, 48, 39, 145, 114
104, 1, 49, 39, 148, 114
105, 1, 50, 39, 150, 114
106, 1, 50, 39, 150, 114
107, 1, 50, 39, 150, 114
108, 1, 50, 39, 150, 114
109, 1, 50, 39, 150, 114
110, 1, 48, 43, 145, 115
121, 1, 49, 43, 147, 115
132, 1, 50, 41, 151, 113
143, 1, 53, 41, 157, 112
154, 1, 55, 41, 164, 113
165, 1, 55, 41, 163, 113
176, 1, 48, 42, 145, 115
186, 1, 69, 91, 180, 171
187, 1, 54, 41, 161, 114
188, 1, 76, 91, 185, 171
189, 1, 81, 91, 184, 170
190, 1, 86, 91, 191, 170
191, 1, 92, 91, 194, 170
192, 1, 94, 89, 193, 164
193, 1, 101, 89, 204, 166
194, 1, 105, 88, 205, 162
195, 1, 107, 87, 210, 160
196, 1, 105, 87, 203, 160
197, 1, 106, 87, 204, 160
