                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3098,                 6.6907,                 3.0772,                      0,                      0,                      0,                      0,                 3.9411,                 5.9708,                 2.8093,                 0.0874,                 0.0014,                 0.0014
                      1,                 4.3102,                 5.9306,                 3.1113,                      0,                      0,                      0,                      0,                 3.9712,                 5.4061,                 2.7767,               0.073756,              0.0027564,              0.0027564
                      2,                 3.9453,                 5.1144,                 2.8651,                0.00023,                  0.025,                0.00012,                  4e-05,                 3.9348,                  5.037,                 2.7647,               0.059964,              0.0039644,              0.0039644
                      3,                 3.8312,                 4.6603,                 2.8284,                0.00126,                 0.1375,                0.00074,                0.00017,                 3.6529,                 4.6461,                  2.642,               0.046024,              0.0050238,              0.0050238
                      4,                 4.1086,                 4.5342,                 2.7817,                0.00126,                 0.1375,                0.00074,                0.00017,                 3.6529,                 4.6461,                  2.642,               0.031935,              0.0059348,              0.0059348
                      5,                 3.8452,                  4.366,                 2.6965,                0.00299,                  0.325,                0.00292,                0.00091,                 3.3718,                 4.5946,                 2.5394,               0.017697,              0.0066973,              0.0066973
                      6,                 3.9835,                 4.1744,                 2.7471,                0.00299,                  0.325,                0.00292,                0.00091,                 3.3718,                 4.5946,                 2.5394,                0.00703,                0.00703,                0.00703
                      7,                 3.7215,                 3.9769,                 2.5722,                0.01271,                  0.275,                0.01201,                0.00303,                 3.1664,                  4.018,                 2.3723,                0.00703,                0.00703,                0.00703
                      8,                 3.5306,                 3.8189,                  2.469,                0.01271,                  0.275,                0.01201,                0.00303,                 3.1664,                  4.018,                 2.3723,               0.006535,               0.006535,               0.006535
                      9,                 3.3931,                 3.8715,                 2.3881,                0.00659,                    0.7,                0.02594,                0.01198,                 2.6679,                 3.6045,                 2.1675,                0.00604,                0.00604,                0.00604
                     10,                 3.3049,                 3.7431,                 2.4773,                0.00659,                    0.7,                0.02594,                0.01198,                 2.6679,                 3.6045,                 2.1675,               0.005545,               0.005545,               0.005545
                     11,                 3.0786,                  3.685,                  2.255,                0.00727,                 0.7375,                0.03406,                0.01131,                  2.695,                 3.4741,                 2.0493,                0.00505,                0.00505,                0.00505
                     12,                 2.9633,                  3.637,                 2.2982,                0.00727,                 0.7375,                0.03406,                0.01131,                  2.695,                 3.4741,                 2.0493,               0.004555,               0.004555,               0.004555
                     13,                 2.9909,                 3.3819,                 2.0944,                 0.0402,                0.04505,                0.03008,                0.00989,                 2.5905,                 3.3542,                 1.9561,                0.00406,                0.00406,                0.00406
                     14,                 2.7584,                 3.3297,                 2.1385,                 0.0402,                0.04505,                0.03008,                0.00989,                 2.5905,                 3.3542,                 1.9561,               0.003565,               0.003565,               0.003565
                     15,                 2.8445,                  3.231,                 2.0701,                0.06213,                  0.075,                0.05382,                0.01861,                 2.3548,                 3.1321,                 1.8591,                0.00307,                0.00307,                0.00307
                     16,                 2.7668,                 2.9881,                 1.9218,                0.06213,                  0.075,                0.05382,                0.01861,                 2.3548,                 3.1321,                 1.8591,               0.002575,               0.002575,               0.002575
                     17,                 2.5537,                 3.1646,                 2.0664,                0.06213,                  0.075,                0.05382,                0.01861,                 2.3548,                 3.1321,                 1.8591,                0.00208,                0.00208,                0.00208
                     18,                 2.3979,                 2.9954,                 1.9736,                0.10126,                 0.1125,                0.07823,                0.02738,                 2.2965,                 2.9911,                 1.8241,               0.001585,               0.001585,               0.001585
                     19,                 2.5396,                 2.9864,                 1.9503,                0.10126,                 0.1125,                0.07823,                0.02738,                 2.2965,                 2.9911,                 1.8241,                0.00109,                0.00109,                0.00109
